,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1,CHEMBL50117,CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,active,396.53500000000025,3.10447,3.0,3.0,6.050609993355087
2,CHEMBL108952,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](CO)c1ccccc1,active,557.6080000000004,-0.6088999999999953,7.0,8.0,7.721246399047171
3,CHEMBL3142655,COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc(OC)c1,active,487.60000000000014,3.4704000000000033,2.0,5.0,7.301029995663981
9,CHEMBL433275,COC(=O)[C@H](NC(=O)[C@@H]1CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)c1ccccc1,inactive,436.51200000000006,2.03367,4.0,5.0,4.690369832574101
11,CHEMBL3142745,Cc1ccc(C)c(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,active,455.6020000000001,4.070040000000002,2.0,3.0,7.42021640338319
13,CHEMBL431443,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](C)Cc1ccccc1,active,555.6360000000004,0.28870000000000506,6.0,7.0,7.366531544420414
14,CHEMBL3142679,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(O)c1)C(c1ccccc1)c1ccccc1,active,443.5470000000001,3.158800000000002,3.0,4.0,6.795880017344075
19,CHEMBL3349684,N[C@@H](C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1)C(c1ccccc1)c1ccccc1,active,448.61100000000016,2.770500000000003,3.0,4.0,10.0
26,CHEMBL111195,COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(C)O)C1CCCCC1,active,591.666,-0.2205999999999959,6.0,9.0,7.795880017344075
27,CHEMBL105819,CC(O)[C@@H](C(=O)N[C@H](C)c1ccccc1)N(C)C(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N,active,555.6360000000002,0.7609000000000028,5.0,7.0,11.096910013008056
